data_movimentacao,observacoes,conta_bancaria_id,tipo_movimentacao,organization_id,valor,id,saldo_anterior,lancamento_financeiro_id,descricao,saldo_posterior,created_date,updated_date,created_by_id,created_by,is_sample
"2026-04-23","Movimentação automática da OS #OS4055","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","0","69eba2c90733c76ea29d19d7","125520.89499999999","69eba2c9a4cc478fdcbada14","Recebimento OS #OS4055 - Parcela 1/4","125520.89499999999","2026-04-24T17:05:13.945000","2026-04-24T17:05:13.945000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-23","Movimentação automática da OS #OS4489","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","0","69eb9f9d42e2a52e4167a5e4","125520.89499999999","69eb9f9c0d3b2333801af29d","Recebimento OS #OS4489 - Parcela 1/2","125520.89499999999","2026-04-24T16:51:41.109000","2026-04-24T16:51:41.109000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-23","Movimentação automática da OS #OS4494","696a7a606110b7df8db70dd9","entrada","69864e74fb6fe137d3577c07","0","69eb9f5cf3b4618a43d07d68","5189.47","69eb9f5c33288b406ecc60ce","Recebimento OS #OS4494 - Parcela 1/2","5189.47","2026-04-24T16:50:36.647000","2026-04-24T16:50:36.647000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-16","Movimentação automática da OS #OS4395","6967da89b2b38c787b2c16c3","entrada","69864e74fb6fe137d3577c07","2300","69ea8639395456f218cf5b97","26096","69ea8639342b5255749ce6ec","Recebimento OS #OS4395","28396","2026-04-23T20:51:05.553000","2026-04-23T20:51:05.553000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-23","Movimentação automática da OS #OS4491","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","250","69ea7e420ce5b1443dfa4a6c","125270.89499999999","69ea7e42797d03aa23e9c851","Recebimento OS #OS4491","125520.89499999999","2026-04-23T20:17:06.636000","2026-04-23T20:17:06.636000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-23","Movimentação automática da OS #OS4484","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","590","69ea7e1ea46ad94e294f007b","124680.89499999999","69ea7e1e16842e0c2fb2b4d2","Recebimento OS #OS4484 - Parcela 2/2","125270.89499999999","2026-04-23T20:16:30.832000","2026-04-23T20:16:30.832000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-22","Movimentação automática da OS #OS4484","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","0","69ea7e1d4d3a31312682568f","124680.89499999999","69ea7e1d9ab6f46ba7656933","Recebimento OS #OS4484 - Parcela 1/2","124680.89499999999","2026-04-23T20:16:29.721000","2026-04-23T20:16:29.721000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-23","Movimentação automática da OS #OS4485","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","2200","69ea7df179c7d89af8a0d5a8","122480.89499999999","69ea1aeecec5f95e655b2510","[Pago] Recebimento OS #OS4485 - Parcela 2/2","124680.89499999999","2026-04-23T20:15:45.272000","2026-04-23T20:15:45.272000","6995da09baeade58cad85b32","marcineiahm@gmail.com","false"
"2026-04-10","Movimentação automática da OS #OS4441","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","0","69ea4671c01bda4e072190f6","104530.995","69ea466f9794c32dfd94079a","Recebimento OS #OS4441 - Parcela 1/2","104530.995","2026-04-23T16:18:57.181000","2026-04-23T16:18:57.181000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"2026-04-22","Movimentação automática da OS #OS4485","6967da592d219d1a3411f847","entrada","69864e74fb6fe137d3577c07","0","69ea1aedc88ed1898d1f4114","104530.995","69ea1aed70813f671240522d","Recebimento OS #OS4485 - Parcela 1/2","104530.995","2026-04-23T13:13:17.709000","2026-04-23T13:13:17.709000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
