nome,tipo,id,organization_id,created_date,updated_date,created_by_id,created_by,is_sample
"FINANCIAMENTO","saida","69dfca76376639630d4bfcf2","69864e74fb6fe137d3577c07","2026-04-15T17:27:18.320000","2026-04-15T17:27:18.320000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DANIEL 3","saida","69df9a0eb6d048344c0f272f","69864e74fb6fe137d3577c07","2026-04-15T14:00:46.481000","2026-04-15T14:00:46.481000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DANIEL 2","saida","69df9969b5c7fc163f6e49ce","69864e74fb6fe137d3577c07","2026-04-15T13:58:01.690000","2026-04-15T13:58:01.690000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DANIEL 1","saida","69df995b1d14ac520ccdcbb9","69864e74fb6fe137d3577c07","2026-04-15T13:57:47.030000","2026-04-15T13:57:47.030000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"TERCEIRIZADO","saida","69a5d58953fc2332e5135e0c","69864e74fb6fe137d3577c07","2026-03-02T18:23:05.783000","2026-03-02T18:23:05.783000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PEÇAS","saida","69a5d562ff072f248cb73dcd","69864e74fb6fe137d3577c07","2026-03-02T18:22:26.673000","2026-03-02T18:22:26.673000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CUSTO COM PESSOAL","saida","69a0c0dd9be42317ac351dc5","69864e74fb6fe137d3577c07","2026-02-26T21:53:33.192000","2026-02-26T21:53:33.192000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DOACÃO","saida","699894b2b9ed4f930ab11bd4","69864e74fb6fe137d3577c07","2026-02-20T17:06:58.431000","2026-02-20T17:06:58.431000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CARTÃO DE CREDITO","saida","6997515527e42041713b9ab3","69864e74fb6fe137d3577c07","2026-02-19T18:07:17.472000","2026-02-19T18:07:17.472000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PROLABORE","saida","6995df48f514b1173b11a681","69864e74fb6fe137d3577c07","2026-02-18T15:48:24.989000","2026-02-18T15:48:24.989000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CUSTO VARIAVEL","saida","6995de80e3479bba01e490be","69864e74fb6fe137d3577c07","2026-02-18T15:45:04.676000","2026-02-18T15:45:04.676000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CUSTO FIXO","saida","6995de75a382aea77ee343f7","69864e74fb6fe137d3577c07","2026-02-18T15:44:53.163000","2026-02-18T15:44:53.163000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
