ordem_servico_id,forma_pagamento,observacoes,numero_parcela,organization_id,data_pagamento,id,valor_parcela,data_vencimento,status,lancamento_financeiro_id,created_date,updated_date,created_by_id,created_by,is_sample
"696a92ce916f8a42029cf859","pix","","4","69864e74fb6fe137d3577c07","","69eba2cc33288b406ecc63e8","582","2026-05-15","pendente","69eba2cce9918f6b65389c8c","2026-04-24T17:05:16.427000","2026-04-24T17:05:17.010000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"696a92ce916f8a42029cf859","pix","","3","69864e74fb6fe137d3577c07","","69eba2cb2dafbc4147da7a20","1500","2026-04-23","pendente","69eba2cba4cc478fdcbada16","2026-04-24T17:05:15.585000","2026-04-24T17:05:16.219000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"696a92ce916f8a42029cf859","pix","","2","69864e74fb6fe137d3577c07","","69eba2cab623edcdc44ae835","3000","2026-04-10","pendente","69eba2caa93a28a1d7f2022e","2026-04-24T17:05:14.707000","2026-04-24T17:05:15.244000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"696a92ce916f8a42029cf859","pix","","1","69864e74fb6fe137d3577c07","2026-04-24","69eba2c99db4bf8d8d55e0ec","0","2026-04-23","pago","69eba2c9a4cc478fdcbada14","2026-04-24T17:05:13.327000","2026-04-24T17:05:14.431000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69ea05565b27ecc0dce80e05","pix","","2","69864e74fb6fe137d3577c07","","69eb9f9d9d12eec5cc072c0d","1600","2026-04-24","pendente","69eb9f9e9089cdf32151c3e6","2026-04-24T16:51:41.868000","2026-04-24T16:51:42.231000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69ea05565b27ecc0dce80e05","pix","","1","69864e74fb6fe137d3577c07","2026-04-24","69eb9f9ca4cc478fdcbad8c2","0","2026-04-23","pago","69eb9f9c0d3b2333801af29d","2026-04-24T16:51:40.530000","2026-04-24T16:51:41.602000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69ea71cac03184b42a334d4a","boleto","","2","69864e74fb6fe137d3577c07","","69eb9f5d8d7eedd12b982d4b","950","2026-05-23","pendente","69eb9f5d741258e99108aebe","2026-04-24T16:50:37.225000","2026-04-24T16:50:37.556000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69ea71cac03184b42a334d4a","boleto","","1","69864e74fb6fe137d3577c07","2026-04-24","69eb9f5b194fbf8683ccdb2c","0","2026-04-23","pago","69eb9f5c33288b406ecc60ce","2026-04-24T16:50:35.866000","2026-04-24T16:50:37.047000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e8bf64bbc07c87a67ae8ca","pix","","2","69864e74fb6fe137d3577c07","2026-04-23","69ea7e1e5bcae027ca182bd4","590","2026-04-23","pago","69ea7e1e16842e0c2fb2b4d2","2026-04-23T20:16:30.293000","2026-04-23T20:16:31.162000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e8bf64bbc07c87a67ae8ca","pix","","1","69864e74fb6fe137d3577c07","2026-04-23","69ea7e1d2bb53980ed3569d2","0","2026-04-22","pago","69ea7e1d9ab6f46ba7656933","2026-04-23T20:16:29.122000","2026-04-23T20:16:30.091000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69d8fce6ba22c40affe09861","pix","","2","69864e74fb6fe137d3577c07","","69ea46719420d415bf27b7ab","790","2026-05-10","pendente","69ea4672669e59e6b6a46f9d","2026-04-23T16:18:57.882000","2026-04-23T16:18:58.259000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69d8fce6ba22c40affe09861","pix","","1","69864e74fb6fe137d3577c07","2026-04-23","69ea466f85a6777d412f416c","0","2026-04-10","pago","69ea466f9794c32dfd94079a","2026-04-23T16:18:55.087000","2026-04-23T16:18:57.689000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e8c3d810619c89ada31943","pix","","2","69864e74fb6fe137d3577c07","2026-04-23","69ea1aeea3356d7e8f1435ca","2200","2026-05-01","pago","69ea1aeecec5f95e655b2510","2026-04-23T13:13:18.304000","2026-04-23T20:15:43.048000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e8c3d810619c89ada31943","pix","","1","69864e74fb6fe137d3577c07","2026-04-23","69ea1aedcef42efedb7f75b7","0","2026-04-22","pago","69ea1aed70813f671240522d","2026-04-23T13:13:17.159000","2026-04-23T13:13:18.134000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69de27f3a28d89764d5f6528","pix","","2","69864e74fb6fe137d3577c07","2026-04-23","69ea0f79b874d1d8b4793aa6","1175","2026-04-22","pago","69ea0f795954f5e3a3d39ce1","2026-04-23T12:24:25.454000","2026-04-23T12:24:26.456000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69de27f3a28d89764d5f6528","pix","","1","69864e74fb6fe137d3577c07","2026-04-23","69ea0f7888a2c7ab8581a96b","0","2026-04-20","pago","69ea0f78ef790cd8457ede23","2026-04-23T12:24:24.263000","2026-04-23T12:24:25.255000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69b02590e880d5f8f77cdcac","dinheiro","","2","69864e74fb6fe137d3577c07","","69e929150e081be39c7dc76e","1235","2026-04-22","pendente","69e929155c23b635f0c6dcb9","2026-04-22T20:01:25.382000","2026-04-22T20:01:25.824000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69b02590e880d5f8f77cdcac","dinheiro","","1","69864e74fb6fe137d3577c07","2026-04-22","69e92914130598a881067373","0","2026-03-11","pago","69e929149414673dd49585fc","2026-04-22T20:01:24.077000","2026-04-22T20:01:25.156000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e6558b1d78d3e30fd2c4f8","pix","","2","69864e74fb6fe137d3577c07","","69e8c6d3a80e493c718cf029","750","2026-05-22","pendente","69e8c6d43a03a6fed7cb34ec","2026-04-22T13:02:11.990000","2026-04-22T13:02:12.351000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e6558b1d78d3e30fd2c4f8","pix","","1","69864e74fb6fe137d3577c07","2026-04-22","69e8c6d24e60e70cfb6cc9a9","0","2026-04-22","pago","69e8c6d2fe5f8cead52fb2eb","2026-04-22T13:02:10.804000","2026-04-22T13:02:11.786000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e686e516eb77221d1a9891","pix","","2","69864e74fb6fe137d3577c07","","69e8c65091fb266e43838123","260","2026-05-01","pendente","69e8c650c9ffd215f6e9371b","2026-04-22T13:00:00.336000","2026-04-22T13:00:00.728000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e686e516eb77221d1a9891","pix","","1","69864e74fb6fe137d3577c07","2026-04-22","69e8c64f3b091b2534c4ed05","0","2026-04-20","pago","69e8c64f7065444e80b6d021","2026-04-22T12:59:59.202000","2026-04-22T13:00:00.173000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69df9aaef6270cb52b8bdf0a","pix","","2","69864e74fb6fe137d3577c07","2026-04-22","69e8c30c81ddd5aaff9fdd09","357.5","2026-04-22","pago","69e8c30cbaf2e4b46a87688a","2026-04-22T12:46:04.515000","2026-04-22T12:46:05.475000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69df9aaef6270cb52b8bdf0a","pix","","1","69864e74fb6fe137d3577c07","2026-04-22","69e8c30b49324528d63d4e68","357.5","2026-04-20","pago","69e8c30b5030668332ddf2e7","2026-04-22T12:46:03.160000","2026-04-22T12:46:04.215000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e75ba27e13a98d203a3581","cheque","","2","69864e74fb6fe137d3577c07","","69e8c2c95c17813d4ee33695","130","2026-05-17","pendente","69e8c2c9faad918882c92510","2026-04-22T12:44:57.694000","2026-04-22T12:44:58.034000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69e75ba27e13a98d203a3581","cheque","","1","69864e74fb6fe137d3577c07","2026-04-22","69e8c2c81f4e55485d8e5dbf","0","2026-04-17","pago","69e8c2c8909c4625475b3996","2026-04-22T12:44:56.640000","2026-04-22T12:44:57.513000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69b419112381913ac3966946","pix","","3","69864e74fb6fe137d3577c07","2026-04-21","69e76f36c53716054b9de65f","2095","2026-04-13","pago","69e76f361d9ab047c40ba3f8","2026-04-21T12:36:06.750000","2026-04-21T12:36:07.609000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
"69b419112381913ac3966946","pix","","2","69864e74fb6fe137d3577c07","2026-04-21","69e76f3553cf596a86fffafa","2000","2026-03-17","pago","69e76f353b9677b6c9b3257a","2026-04-21T12:36:05.722000","2026-04-21T12:36:06.564000","service_cc865314-18f7-402e-b534-8a8dc7f7e16b","service+cc865314-18f7-402e-b534-8a8dc7f7e16b@no-reply.base44.com","false"
