whatsapp,telefone,cidade,ativo,numero,limite_credito,cpf_cnpj,cep,uf,contato_telefone,complemento,id,email,contato_email,contato_cargo,contato_nome,bairro,categoria,nome,observacoes,site,prazo_pagamento_dias,tipo_pessoa,logradouro,organization_id,inscricao_estadual,nome_fantasia,created_date,updated_date,created_by_id,created_by,is_sample
"","0000000000","SAO PAULO","true","","0","53092365000150","","SP","","","6942f22335afdea4c37af173","","","","","MERCADO LIVRE","outros","MERCADO LIVRE","","","30","pj","","69864e74fb6fe137d3577c07","","MERCADO LIVRE","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.798000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","5135950044","NOVO HAMBURGO","true","","0","3975565000182","","RS","","","6942f22335afdea4c37af164","","","","","CALL TECH","outros","CALL TECH COMERCIO E SERVICOS LTDA","","","30","pj","","69864e74fb6fe137d3577c07","","CALL TECH","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.793000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","5135820108","NOVO HAMBURGO","true","","0","42693707000170","","RS","","","6942f22335afdea4c37af168","","","","","DUVALLY","outros","DUVALLY RETIFICA DE MOTORES LTDA","","","30","pj","","69864e74fb6fe137d3577c07","","DUVALLY","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.808000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51985859142","NOVO HAMBURGO","true","","0","93347466000149","","RS","","","6942f22335afdea4c37af16a","","","","","ELICAR","outros","ELICAR AUTO PEÇAS","","","30","pj","","69864e74fb6fe137d3577c07","","ELICAR","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.810000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51992423511","NOVO HAMBURGO","true","","0","32238796000101","","RS","","","6942f22335afdea4c37af175","","","","","NOVATZKI E NEVES","outros","NOVATZKI E NEVES ADVOGADOS ASS","","","30","pj","","69864e74fb6fe137d3577c07","","NOVATZKI E NEVES","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.787000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","0000000000","SAO PAULO","true","","0","2558157000162","","SP","","","6942f22335afdea4c37af181","","","","","VIVO TELEFONIA","outros","VIVO TELEFONIA","","","30","pj","","69864e74fb6fe137d3577c07","","VIVO TELEFONIA","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.828000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51981863993","PORTO ALEGRE","true","","0","14618082000147","","RS","","","6942f22335afdea4c37af160","","","","","2M (LUIMAR )","outros","2M COMERCIO DE PEÇAS ( LUIMAR )","","","30","pj","","69864e74fb6fe137d3577c07","","2M (LUIMAR )","2025-12-17T18:10:43.943000","2026-02-17T01:19:17.540000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51996288478","TRES COROAS","true","","0","","","RS","","","6942f22335afdea4c37af162","","","","","BETO FRETE","outros","TRANSPORTADORA BETO","","","30","pj","","69864e74fb6fe137d3577c07","","BETO FRETE","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.830000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51994227354","NOVO HAMBURGO","true","","0","19389302000121","","RS","","","6942f22335afdea4c37af17e","","","","","SUL CORTE","outros","SUL CORTE DOBRA E METALURGIA LTDA","","","30","pj","","69864e74fb6fe137d3577c07","","SUL CORTE","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.792000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","0000000000","SAO LEOPOLDO","true","","0","","","RS","","","6942f22335afdea4c37af184","","","","","ZAQUEU SOLDA","outros","ZAQUEU SOLDA","","","30","pj","","69864e74fb6fe137d3577c07","","ZAQUEU SOLDA","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.784000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51999533220","NOVO HAMBURGO","true","","0","91973511000145","","RS","","","6942f22335afdea4c37af16b","","","","","FABIO","outros","LM RETIFICADORA","","","30","pj","","69864e74fb6fe137d3577c07","","FABIO","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.821000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","5135877171","NOVO HAMBURGO","true","","0","485514000184","","RS","","","6942f22335afdea4c37af170","","","","","HIPPER TOOLS","outros","HIPPER TOOLS","","","30","pj","","69864e74fb6fe137d3577c07","","HIPPER TOOLS","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.827000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","0000000000","CANOAS","true","","0","35820448000136","","RS","","","6942f22335afdea4c37af182","","","","","WHITE MARTINS","outros","WHITE MARTINS","","","30","pj","","69864e74fb6fe137d3577c07","","WHITE MARTINS","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.767000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","48988445257","SAO JOSE","true","","0","8720846000108","","SC","","","6942f22335afdea4c37af165","","","","","CARBO SUL","outros","CARBO SUL INDUSTRIA QUIMICA LTDA","","","30","pj","","69864e74fb6fe137d3577c07","","CARBO SUL","2025-12-17T18:10:43.943000","2026-02-16T12:40:46.808000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","51991490203","ROLANTE","true","","0","11894541000136","","RS","","","6942f22335afdea4c37af176","","","","","PASSOS CONTABILIDADE","outros","PASSOS CONTABILIDADE","","","30","pj","","69864e74fb6fe137d3577c07","","PASSOS CONTABILIDADE","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.760000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"","0000000000","NOVO HAMBURGO","true","","0","15668484000119","","RS","","","6942f22335afdea4c37af183","","","","","WINTER","outros","ALJ WINTER","","","30","pj","","69864e74fb6fe137d3577c07","","WINTER","2025-12-17T18:10:43.943000","2026-02-16T12:41:08.772000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
